folder,checknum,Test_Sensitivity,Test_NPV
642ac919,000004,0.13793103448275862,0.8007968127490039
642ac919,000009,0.08064516129032258,0.7782101167315175
642ac919,000003,0.05970149253731343,0.7586206896551724
642ac919,000001,0.078125,0.7748091603053435
642ac919,000006,0.06060606060606061,0.7559055118110236
642ac919,000002,0.06557377049180328,0.7807692307692308
642ac919,000008,0.016666666666666666,0.7790262172284644
642ac919,000005,0.03636363636363636,0.7961538461538461
9aff7e36,000002,0.0,0.7757352941176471
9aff7e36,000008,0.0,0.7794117647058824
9aff7e36,000005,1.0,
9aff7e36,000001,1.0,
9aff7e36,000006,1.0,1.0
9aff7e36,000004,0.0,0.7867647058823529
9aff7e36,000009,1.0,
9aff7e36,000003,0.0,0.7536764705882353
9aff7e36,000007,0.0,0.7794117647058824
9aff7e36,000000,1.0,
d3a7a933,000000,0.9814814814814815,0.5
d3a7a933,000003,1.0,
d3a7a933,000004,0.017241379310344827,0.7849056603773585
d3a7a933,000001,1.0,
d3a7a933,000005,0.0,0.7977941176470589
d3a7a933,000002,0.0,0.7757352941176471
67577629,000003,1.0,
67577629,000009,1.0,
67577629,000004,1.0,
67577629,000000,0.0,0.8014705882352942
67577629,000007,1.0,
67577629,000005,0.0,0.7977941176470589
67577629,000008,1.0,
67577629,000002,0.0,0.7757352941176471
67577629,000006,0.0,0.7573529411764706
67577629,000001,0.0,0.7647058823529411
dfddb520,000006,0.0,0.7573529411764706
dfddb520,000001,0.0,0.7647058823529411
dfddb520,000005,1.0,
dfddb520,000008,1.0,
dfddb520,000002,0.0,0.7757352941176471
dfddb520,000000,1.0,
dfddb520,000007,0.0,0.7794117647058824
dfddb520,000003,0.0,0.7536764705882353
dfddb520,000009,0.0,0.7720588235294118
dfddb520,000004,0.0,0.7867647058823529
d8840e47,000005,0.0,0.7977941176470589
d8840e47,000002,0.0,0.7757352941176471
d8840e47,000008,0.0,0.7794117647058824
d8840e47,000006,0.0,0.7573529411764706
d8840e47,000001,0.0,0.7647058823529411
d8840e47,000009,0.0,0.7720588235294118
d8840e47,000003,0.0,0.7536764705882353
d8840e47,000004,0.0,0.7867647058823529
d8840e47,000000,0.0,0.8014705882352942
d8840e47,000007,0.0,0.7794117647058824
eb95fa49,000005,0.6909090909090909,0.6851851851851852
eb95fa49,000002,0.0,0.7749077490774908
eb95fa49,000008,0.0,0.7794117647058824
eb95fa49,000006,0.0,0.7573529411764706
eb95fa49,000001,1.0,
eb95fa49,000009,0.0,0.7720588235294118
eb95fa49,000003,0.0,0.7536764705882353
eb95fa49,000004,0.0,0.7867647058823529
eb95fa49,000000,0.0,0.8014705882352942
eb95fa49,000007,0.0,0.7794117647058824
3d916de5,000006,1.0,1.0
3d916de5,000001,1.0,
3d916de5,000005,0.0,0.7977941176470589
3d916de5,000008,0.0,0.7794117647058824
3d916de5,000002,1.0,
3d916de5,000000,0.0,0.8014705882352942
3d916de5,000007,0.0,0.7794117647058824
3d916de5,000003,0.0,0.7536764705882353
3d916de5,000009,0.0,0.7720588235294118
3d916de5,000004,0.0,0.7867647058823529
2ea366bf,000006,0.0,0.7573529411764706
2ea366bf,000001,0.0,0.7647058823529411
2ea366bf,000005,0.0,0.7977941176470589
2ea366bf,000002,1.0,
2ea366bf,000008,1.0,
2ea366bf,000000,1.0,
2ea366bf,000007,1.0,
2ea366bf,000009,1.0,
2ea366bf,000003,0.0,0.7536764705882353
2ea366bf,000004,1.0,
f204ff9d,000001,0.984375,0.6666666666666666
f204ff9d,000006,0.0,0.7573529411764706
f204ff9d,000008,0.0,0.7794117647058824
f204ff9d,000002,0.8852459016393442,0.7878787878787878
f204ff9d,000005,0.0,0.7977941176470589
f204ff9d,000007,0.18333333333333332,0.7621359223300971
f204ff9d,000000,0.6111111111111112,0.8173913043478261
f204ff9d,000004,1.0,
f204ff9d,000003,0.9104477611940298,0.7142857142857143
f204ff9d,000009,0.06451612903225806,0.7827715355805244
58cfead6,000006,0.0,0.7573529411764706
58cfead6,000001,0.0,0.7647058823529411
58cfead6,000005,0.0,0.7977941176470589
58cfead6,000002,1.0,
58cfead6,000008,1.0,
58cfead6,000000,1.0,
58cfead6,000007,0.0,0.7794117647058824
58cfead6,000009,0.0,0.7720588235294118
58cfead6,000003,1.0,
58cfead6,000004,0.0,0.7867647058823529
9e4d2ab9,000007,1.0,
9e4d2ab9,000000,0.0,0.8014705882352942
9e4d2ab9,000004,1.0,
9e4d2ab9,000009,1.0,
9e4d2ab9,000003,0.0,0.7536764705882353
9e4d2ab9,000001,1.0,
9e4d2ab9,000006,1.0,1.0
9e4d2ab9,000002,1.0,
9e4d2ab9,000008,1.0,
9e4d2ab9,000005,0.0,0.7977941176470589
eecc67cf,000000,0.7222222222222222,0.8780487804878049
eecc67cf,000007,0.85,0.9072164948453608
eecc67cf,000003,0.7313432835820896,0.856
eecc67cf,000009,0.6774193548387096,0.8148148148148148
eecc67cf,000004,0.6551724137931034,0.849624060150376
eecc67cf,000006,0.7727272727272727,0.845360824742268
eecc67cf,000001,0.71875,0.8392857142857143
eecc67cf,000005,0.6727272727272727,0.8646616541353384
eecc67cf,000008,0.7666666666666667,0.8541666666666666
eecc67cf,000002,0.7868852459016393,0.9
e7bb7771,000007,0.0,0.7794117647058824
e7bb7771,000000,1.0,
e7bb7771,000004,0.0,0.7867647058823529
e7bb7771,000009,0.0,0.7720588235294118
e7bb7771,000003,1.0,
e7bb7771,000001,1.0,
e7bb7771,000006,0.045454545454545456,0.7657992565055762
e7bb7771,000002,1.0,
e7bb7771,000008,0.0,0.7794117647058824
e7bb7771,000005,1.0,
ef59996b,000001,0.015625,0.7666666666666667
ef59996b,000006,0.0,0.7573529411764706
ef59996b,000002,0.0,0.7757352941176471
ef59996b,000008,0.0,0.7718631178707225
ef59996b,000005,0.9818181818181818,0.75
ef59996b,000007,0.0,0.7794117647058824
ef59996b,000000,1.0,
ef59996b,000004,0.0,0.7867647058823529
ef59996b,000009,0.0,0.7720588235294118
ef59996b,000003,1.0,
e291e160,000002,1.0,
e291e160,000008,1.0,
e291e160,000005,0.0,0.7977941176470589
e291e160,000001,1.0,
e291e160,000006,0.0,0.7573529411764706
e291e160,000004,0.0,0.7867647058823529
e291e160,000009,1.0,
e291e160,000003,1.0,
e291e160,000007,0.0,0.7794117647058824
e291e160,000000,0.0,0.8014705882352942
e2b1b3b7,000005,0.0,0.7977941176470589
e2b1b3b7,000002,1.0,
e2b1b3b7,000008,1.0,
e2b1b3b7,000006,0.0,0.7573529411764706
e2b1b3b7,000001,0.0,0.7647058823529411
e2b1b3b7,000009,0.0,0.7720588235294118
e2b1b3b7,000003,1.0,
e2b1b3b7,000004,1.0,
e2b1b3b7,000000,0.0,0.8014705882352942
e2b1b3b7,000007,0.0,0.7794117647058824
11f1c2f3,000007,0.1,0.762114537444934
11f1c2f3,000000,0.7777777777777778,0.8153846153846154
11f1c2f3,000004,1.0,
11f1c2f3,000009,1.0,
11f1c2f3,000003,0.6119402985074627,0.7886178861788617
11f1c2f3,000001,1.0,
11f1c2f3,000006,0.5454545454545454,0.7580645161290323
11f1c2f3,000002,0.9180327868852459,0.8333333333333334
11f1c2f3,000008,0.6833333333333333,0.8272727272727273
11f1c2f3,000005,0.8,0.8513513513513513
c19fb1ba,000005,1.0,
c19fb1ba,000008,0.0,0.7794117647058824
c19fb1ba,000002,1.0,
c19fb1ba,000006,0.0,0.7573529411764706
c19fb1ba,000001,1.0,
c19fb1ba,000003,1.0,
c19fb1ba,000009,1.0,
c19fb1ba,000004,0.0,0.7867647058823529
c19fb1ba,000000,0.0,0.8014705882352942
c19fb1ba,000007,1.0,
dd18579e,000007,1.0,
dd18579e,000000,1.0,
dd18579e,000004,0.0,0.7867647058823529
dd18579e,000009,0.0,0.7720588235294118
dd18579e,000003,0.0,0.7536764705882353
dd18579e,000001,0.0,0.7647058823529411
dd18579e,000006,0.0,0.7573529411764706
dd18579e,000002,1.0,
dd18579e,000008,1.0,
dd18579e,000005,0.0,0.7977941176470589
16712316,000005,0.0,0.7977941176470589
16712316,000002,0.9836065573770492,0.0
16712316,000008,1.0,1.0
16712316,000006,1.0,1.0
16712316,000001,1.0,
16712316,000009,0.9838709677419355,0.75
16712316,000003,0.0,0.7536764705882353
16712316,000004,1.0,
16712316,000000,1.0,
16712316,000007,1.0,
a1240baa,000000,1.0,
a1240baa,000007,0.0,0.7794117647058824
a1240baa,000009,1.0,
a1240baa,000003,0.0,0.7536764705882353
a1240baa,000004,0.0,0.7867647058823529
a1240baa,000006,1.0,1.0
a1240baa,000001,0.0,0.7647058823529411
a1240baa,000005,1.0,
a1240baa,000002,0.0,0.7757352941176471
a1240baa,000008,1.0,
a5238163,000009,0.0,0.7720588235294118
a5238163,000003,0.0,0.7536764705882353
a5238163,000004,0.0,0.7867647058823529
a5238163,000000,0.0,0.8014705882352942
