         10991207 function calls (10957755 primitive calls) in 128.270 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3001    0.001    0.000    0.007    0.000 managers.py:172(blknos)
     1320    0.001    0.000    0.006    0.000 line_numbers.py:35(from_utf8_col)
     3630    0.001    0.000    0.001    0.000 construction.py:713(_sanitize_str_dtypes)
     1650    0.001    0.000    0.001    0.000 warnings.py:477(__exit__)
     2310    0.001    0.000    0.002    0.000 common.py:1487(is_ea_or_datetimelike_dtype)
      825    0.001    0.000    0.008    0.000 config.py:134(_get_option)
      165    0.001    0.000    0.015    0.000 indexing.py:2036(_setitem_single_block)
     3135    0.001    0.000    0.003    0.000 common.py:566(require_length_match)
      165    0.001    0.000    0.001    0.000 blocks.py:236(make_block_same_class)
      165    0.001    0.000    0.005    0.000 std.py:551(__new__)
      165    0.001    0.000    0.031    0.000 arraysetops.py:939(setdiff1d)
      330    0.001    0.000    0.009    0.000 frame.py:11664(values)
     3630    0.001    0.000    0.001    0.000 construction.py:733(_maybe_repeat)
    11469    0.001    0.000    0.001    0.000 {method 'upper' of 'str' objects}
      330    0.001    0.000    0.001    0.000 blocks.py:1912(get_values)
    11304    0.001    0.000    0.001    0.000 {method 'strip' of 'bytes' objects}
      134    0.001    0.000    0.001    0.000 {method 'get_indexer' of 'pandas._libs.index.IndexEngine' objects}
      330    0.001    0.000    0.001    0.000 {method 'acquire' of '_multiprocessing.SemLock' objects}
     3795    0.001    0.000    0.001    0.000 base.py:925(__len__)
     1320    0.001    0.000    0.002    0.000 common.py:1751(pandas_dtype)
      660    0.001    0.000    0.001    0.000 blocks.py:2120(get_block_type)
        1    0.001    0.001    0.001    0.001 {built-in method _collections._count_elements}
     6332    0.001    0.000    0.001    0.000 generic.py:353(flags)
        4    0.001    0.000    0.012    0.003 terminal256.py:252(format_unencoded)
      165    0.001    0.000    0.006    0.000 nanops.py:469(newfunc)
     1620    0.001    0.000    0.002    0.000 {built-in method builtins.all}
     4124    0.001    0.000    0.005    0.000 tokenize.py:98(_compile)
      165    0.001    0.000    0.009    0.000 nanops.py:83(_f)
      165    0.001    0.000    0.028    0.000 indexing.py:806(__setitem__)
      165    0.001    0.000    2.725    0.017 frame.py:5251(drop)
     1650    0.001    0.000    0.001    0.000 construction.py:461(ensure_wrapped_if_datetimelike)
     1698    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
      330    0.001    0.000    0.003    0.000 generic.py:5959(_protect_consolidate)
      165    0.001    0.000    0.004    0.000 base.py:6804(delete)
      330    0.001    0.000    0.002    0.000 generic.py:5977(f)
      165    0.001    0.000    0.001    0.000 managers.py:1061(from_blocks)
      825    0.001    0.000    0.003    0.000 warnings.py:165(simplefilter)
      330    0.001    0.000    0.001    0.000 range.py:173(_simple_new)
       10    0.001    0.000    0.107    0.011 executing.py:289(executing)
     6840    0.001    0.000    0.001    0.000 {method 'replace' of 'str' objects}
      165    0.001    0.000    0.001    0.000 data_loader.py:38(<listcomp>)
      495    0.001    0.000    2.633    0.005 take.py:57(take_nd)
       10    0.001    0.000    0.011    0.001 inspect.py:986(getblock)
      590    0.001    0.000    0.001    0.000 posixpath.py:71(join)
      165    0.001    0.000    0.017    0.000 data_loader.py:76(mapping_HUP_1020)
     6533    0.001    0.000    0.001    0.000 {pandas._libs.lib.is_iterator}
     5672    0.001    0.000    0.001    0.000 {pandas._libs.lib.is_integer}
     2547    0.001    0.000    0.001    0.000 common.py:1556(get_dtype)
      531    0.001    0.000    0.002    0.000 common.py:585(is_dtype_equal)
      165    0.001    0.000    0.003    0.000 std.py:567(_get_free_pos)
      330    0.001    0.000    0.020    0.000 edfreader.py:444(getSignalLabels)
      165    0.001    0.000    0.001    0.000 _asarray.py:108(<setcomp>)
     1155    0.001    0.000    0.001    0.000 managers.py:2069(internal_values)
      165    0.001    0.000    0.001    0.000 data_loader.py:34(<listcomp>)
      165    0.001    0.000    0.002    0.000 utils.py:144(__init__)
      397    0.001    0.000    0.003    0.000 base.py:5464(equals)
      825    0.001    0.000    0.001    0.000 config.py:579(_select_options)
      165    0.001    0.000    0.001    0.000 highlevel.py:356(<listcomp>)
  352/132    0.001    0.000    0.018    0.000 lexer.py:531(_process_state)
      165    0.001    0.000    0.002    0.000 api.py:384(default_index)
      464    0.001    0.000    0.003    0.000 base.py:5116(_get_engine_target)
     3331    0.001    0.000    0.001    0.000 managers.py:2009(_block)
      165    0.001    0.000    0.001    0.000 managers.py:2156(create_block_manager_from_blocks)
      189    0.001    0.000    0.011    0.000 genericpath.py:27(isfile)
     1222    0.001    0.000    0.001    0.000 base.py:870(_reset_identity)
     6018    0.001    0.000    0.001    0.000 {built-in method builtins.callable}
      990    0.001    0.000    0.001    0.000 generic.py:5888(__getattr__)
      165    0.001    0.000    0.018    0.000 indexing.py:1658(_setitem_with_indexer)
      825    0.001    0.000    0.008    0.000 config.py:262(__call__)
        4    0.001    0.000    0.001    0.000 __init__.py:109(get_lexer_by_name)
   2116/1    0.001    0.000    0.005    0.005 ast.py:403(visit)
     3001    0.001    0.000    0.001    0.000 managers.py:188(blklocs)
     2167    0.001    0.000    0.005    0.000 ast.py:369(walk)
     5652    0.001    0.000    0.001    0.000 numeric.py:557(_argwhere_dispatcher)
      495    0.001    0.000    0.004    0.000 series.py:565(_set_axis)
     3630    0.001    0.000    0.001    0.000 common.py:1420(is_1d_only_ea_dtype)
      165    0.001    0.000    0.003    0.000 utils.py:430(check_array_indexer)
      330    0.001    0.000    0.010    0.000 fromnumeric.py:3269(round)
      660    0.001    0.000    0.002    0.000 series.py:661(name)
      330    0.001    0.000    0.001    0.000 {method 'read_annotation' of 'pyedflib._extensions._pyedflib.CyEdfReader' objects}
     2350    0.001    0.000    0.001    0.000 inspect.py:936(tokeneater)
        5    0.001    0.000    0.083    0.017 executing.py:254(for_filename)
      330    0.001    0.000    0.004    0.000 generic.py:5973(_consolidate_inplace)
      594    0.001    0.000    0.001    0.000 dis.py:311(_get_instructions_bytes)
      165    0.001    0.000    0.011    0.000 missing.py:191(_isna)
     1155    0.001    0.000    0.002    0.000 common.py:684(is_integer_dtype)
     1155    0.001    0.000    0.001    0.000 managers.py:2058(dtype)
     7425    0.001    0.000    0.001    0.000 typing.py:1375(cast)
     3166    0.001    0.000    0.001    0.000 generic.py:332(attrs)
      660    0.001    0.000    0.001    0.000 managers.py:1846(is_consolidated)
      165    0.001    0.000    0.010    0.000 managers.py:301(apply)
      330    0.001    0.000    0.089    0.000 cast.py:1673(construct_1d_arraylike_from_scalar)
     3166    0.001    0.000    0.001    0.000 flags.py:53(allows_duplicate_labels)
      727    0.001    0.000    0.001    0.000 common.py:1433(is_extension_array_dtype)
      397    0.001    0.000    0.003    0.000 common.py:96(is_bool_indexer)
      165    0.001    0.000    0.008    0.000 indexing.py:1333(_convert_to_indexer)
      330    0.001    0.000    0.001    0.000 edfreader.py:179(getTechnician)
      495    0.001    0.000    0.001    0.000 take.py:554(_take_preprocess_indexer_and_fill_value)
      660    0.001    0.000    0.001    0.000 common.py:790(is_unsigned_integer_dtype)
     1366    0.001    0.000    0.010    0.000 mark_tokens.py:51(_visit_before_children)
