         4152454 function calls (4091041 primitive calls) in 5.373 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     6515    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:878(__exit__)
     1907    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1346(_path_importer_cache)
     3434    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:398(parent)
      132    0.001    0.000    0.002    0.000 {pandas._libs.lib.maybe_convert_objects}
     3011    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap>:385(cached)
     1588    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:491(_get_cached)
     1675    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:185(cb)
     6515    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:874(__enter__)
       15    0.001    0.000    0.832    0.055 __init__.py:2(<module>)
     5694    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
      523    0.001    0.000    0.004    0.000 dataclasses.py:671(_get_field)
     6969    0.001    0.000    0.002    0.000 inspect.py:700(<genexpr>)
       61    0.001    0.000    0.122    0.002 frame.py:609(__init__)
      159    0.001    0.000    0.001    0.000 edfreader.py:89(<listcomp>)
       33    0.001    0.000    0.014    0.000 inspect.py:986(getblock)
       16    0.001    0.000    0.162    0.010 utils.py:1(<module>)
     1675    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:58(__init__)
     1423    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:593(_validate_timestamp_pyc)
     1259    0.001    0.000    0.002    0.000 inspect.py:494(unwrap)
    12789    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
        5    0.001    0.000    0.001    0.000 range.py:887(_concat)
     7997    0.001    0.000    0.001    0.000 {method '__exit__' of '_thread.lock' objects}
     1054    0.001    0.000    0.005    0.000 mark_tokens.py:213(handle_following_brackets)
      298    0.001    0.000    0.022    0.000 dataclasses.py:377(_create_fn)
     1423    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:523(_check_name_wrapper)
  828/190    0.001    0.000    0.964    0.005 {built-in method builtins.__import__}
     2536    0.001    0.000    0.004    0.000 package_importer.py:684(_patched_getfile)
   134/77    0.001    0.000    0.006    0.000 base.py:430(__new__)
       43    0.001    0.000    0.002    0.000 inspect.py:626(cleandoc)
       27    0.001    0.000    0.002    0.000 dis.py:430(findlabels)
     4290    0.001    0.000    0.001    0.000 sre_parse.py:234(__next)
     2536    0.001    0.000    0.002    0.000 inspect.py:655(getfile)
     1422    0.001    0.000    0.001    0.000 {built-in method _imp._fix_co_filename}
     1622    0.001    0.000    0.152    0.000 <frozen importlib._bootstrap_external>:1415(find_spec)
     3371    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
       40    0.001    0.000    0.001    0.000 {built-in method posix.getcwd}
  2250/10    0.001    0.000    1.706    0.171 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
     2105    0.001    0.000    0.001    0.000 {method 'translate' of 'str' objects}
     1743    0.001    0.000    0.001    0.000 reader.py:99(forward)
  440/165    0.001    0.000    0.021    0.000 lexer.py:531(_process_state)
     2279    0.001    0.000    0.099    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
     4960    0.001    0.000    0.001    0.000 inspect.py:64(ismodule)
